path,text to play
start.wav,start
stop.wav,stop
tailerons.wav,tailerons
taileronsoff.wav,tailerons off
taileronson.wav,tailerons on
tailhkdown.wav,tail hook down
tailhkup.wav,tail hook up
take-off.wav,take off
telemetry-log-off.wav,telemetry logging off
telemetry-log-on.wav,telemetry logging on
telemetry.wav,telemetry
throttle-cut.wav,throttle cut
throttle-hold.wav,throttle hold
throttle.wav,throttle
thrust.wav,thrust
timer.wav,timer
timer.wav,timer
timer1-reset.wav,timer 1 reset
timer2-reset.wav,timer 2 reset
timer3-reset.wav,timer 3 reset
trainer-lost.wav,trainer signal lost
turbinesht.wav,turbine shut down
turbinestrt.wav,turbine start
turtle-off.wav,turtle mode off
turtle-on.wav,turtle mode on
tvoff.wav,thrust vector off
tvon.wav,thrust vector on
vario-off.wav,vario off
vario-on.wav,vario on
vtx-off.wav,VTX off
vtx-on.wav,VTX on
warning.wav,warning
waypoint.wav,waypoint
wheel-brakes-off.wav,wheel brakes off
wheel-brakes-on.wav,wheel brakes on
